program,model,code,name_th,check,detail
AIT,deepseek,—,credit_sum,SPECIFIC_CREDIT_SUM_MISMATCH,extracted=132 declared=90
AIT,gemini,—,credit_sum,GE_CREDIT_SUM_MISMATCH,extracted=15 declared=24
AIT,gemini,—,credit_sum,SPECIFIC_CREDIT_SUM_MISMATCH,extracted=132 declared=90
AIT,qwen,—,credit_sum,GE_CREDIT_SUM_MISMATCH,extracted=15 declared=24
AIT,qwen,—,credit_sum,SPECIFIC_CREDIT_SUM_MISMATCH,extracted=132 declared=90
BIT,deepseek,—,credit_sum,GE_CREDIT_SUM_MISMATCH,extracted=21 declared=30
BIT,deepseek,—,credit_sum,SPECIFIC_CREDIT_SUM_MISMATCH,extracted=153 declared=90
BIT,gemini,—,credit_sum,GE_CREDIT_SUM_MISMATCH,extracted=21 declared=30
BIT,gemini,—,credit_sum,SPECIFIC_CREDIT_SUM_MISMATCH,extracted=153 declared=90
BIT,qwen,—,credit_sum,GE_CREDIT_SUM_MISMATCH,extracted=21 declared=30
BIT,qwen,—,credit_sum,SPECIFIC_CREDIT_SUM_MISMATCH,extracted=84 declared=90
DSBA,deepseek,—,—,INFO_CREDITS_BACKFILLED,backfill credits จาก academic_plan 26 วิชา
DSBA,deepseek,06026216,ปัญญาประดิษฐ์,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026217,การเรียนรู้ของเครื่อง,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026218,การเรียนรู้เชิงลึก,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026219,การประมวลผลภาษาธรรมชาติ,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026220,การทำเหมืองข้อมูลกระบวนการ,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026221,การค้นคืนสารสนเทศ,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026222,คอมพิวเตอร์วิชัน,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026223,การประมวลผลภาพ,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026224,การแปลงข้อมูลและการรู้จำรูปภาพ,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026225,การเรียนรู้เชิงลึกสำหรับการวิเคราะห์ภาพและวีดิโอทางการแพทย์,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026226,หัวข้อพิเศษทางวิทยาการข้อมูล 1,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026227,หัวข้อพิเศษทางวิทยาการข้อมูล 2,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026228,ปฏิบัติการพิเศษทางวิทยาการข้อมูล 1,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026229,ปฏิบัติการพิเศษทางวิทยาการข้อมูล 2,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026230,อนุกรมเวลาและการพยากรณ์เบื้องต้น,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026231,สถิติเชิงเบย์,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026232,กระบวนการสโตแคสติกเบื้องต้น,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026233,การวิเคราะห์ข้อมูลหลายตัวแปร,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026234,การออกแบบการทดลอง,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026235,หัวข้อพิเศษทางการวิเคราะห์เชิงสถิติ 1,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
