program,code,agreement,n_models,models_agreed,name_th,name_match,name_variants
AIT,06046400,ALL3,3,deepseek|gemini|qwen,แคลคูลัส 1,yes,
AIT,06046401,ALL3,3,deepseek|gemini|qwen,แคลคูลัส 2,yes,
AIT,06046402,ALL3,3,deepseek|gemini|qwen,พีชคณิตเชิงเส้น,yes,
AIT,06046403,ALL3,3,deepseek|gemini|qwen,การโปรแกรมคอมพิวเตอร์,yes,
AIT,06046404,ALL3,3,deepseek|gemini|qwen,พื้นฐานของระบบสมองกลฝังตัว,yes,
AIT,06046405,ALL3,3,deepseek|gemini|qwen,การเรียนรู้ของเครื่องเชิงความน่าจะเป็น,yes,
AIT,06046406,ALL3,3,deepseek|gemini|qwen,พื้นฐานการเรียนรู้เชิงลึก,yes,
AIT,06046407,ALL3,3,deepseek|gemini|qwen,พื้นฐานวิทยาการข้อมูล,yes,
AIT,06046408,ALL3,3,deepseek|gemini|qwen,การแสดงข้อมูลด้วยแผนภาพ,yes,
AIT,06046409,ALL3,3,deepseek|gemini|qwen,คอมพิวเตอร์วิทัศน์เบื้องต้น,yes,
AIT,06046410,ALL3,3,deepseek|gemini|qwen,การประมวลผลภาษาธรรมชาติเบื้องต้น,yes,
AIT,06046411,ALL3,3,deepseek|gemini|qwen,การวิเคราะห์และเพิ่มประสิทธิภาพเครือข่าย,yes,
AIT,06046412,ALL3,3,deepseek|gemini|qwen,การเพิ่มประสิทธิภาพโครงข่ายประสาทเทียม,yes,
AIT,06046413,ALL3,3,deepseek|gemini|qwen,ปัญญาประดิษฐ์และอินเทอร์เน็ตประสานสรรพสิ่ง,yes,
AIT,06046414,ALL3,3,deepseek|gemini|qwen,การประมวลผลภาษาธรรมชาติด้วยการเรียนรู้เชิงลึก,yes,
AIT,06046415,ALL3,3,deepseek|gemini|qwen,การประมวลผลสัญญาณ,yes,
AIT,06046416,ALL3,3,deepseek|gemini|qwen,การเรียนรู้เชิงลึกสำหรับคอมพิวเตอร์วิทัศน์,yes,
AIT,06046417,ALL3,3,deepseek|gemini|qwen,การประมวลผลภาพ,yes,
AIT,06046418,ALL3,3,deepseek|gemini|qwen,การระบุตำแหน่งและการสร้างแผนที่ของหุ่นยนต์,yes,
AIT,06046419,ALL3,3,deepseek|gemini|qwen,การเรียนรู้แบบเสริมกำลัง,yes,
AIT,06046420,ALL3,3,deepseek|gemini|qwen,ระบบให้คำแนะนำอัจฉริยะ,yes,
AIT,06046421,ALL3,3,deepseek|gemini|qwen,การประมวลผลภาษาธรรมชาติขั้นสูง,yes,
AIT,06046422,ALL3,3,deepseek|gemini|qwen,จริยธรรมด้านปัญญาประดิษฐ์,yes,
AIT,06046423,ALL3,3,deepseek|gemini|qwen,การออกแบบบริการด้านปัญญาประดิษฐ์,yes,
AIT,06046424,ALL3,3,deepseek|gemini|qwen,ตรรกะและการแทนความรู้,yes,
AIT,06046425,ALL3,3,deepseek|gemini|qwen,โมเดลแบบกำเนิด,yes,
AIT,06046430,ALL3,3,deepseek|gemini|qwen,หัวข้อคัดสรรด้านปัญญาประดิษฐ์ 1,yes,
AIT,06046431,ALL3,3,deepseek|gemini|qwen,หัวข้อคัดสรรด้านปัญญาประดิษฐ์ 2,yes,
AIT,06046432,ALL3,3,deepseek|gemini|qwen,หัวข้อคัดสรรด้านปัญญาประดิษฐ์ 3,yes,
AIT,06046433,ALL3,3,deepseek|gemini|qwen,หัวข้อคัดสรรด้านปัญญาประดิษฐ์ 4,yes,
AIT,06046434,ALL3,3,deepseek|gemini|qwen,หัวข้อคัดสรรด้านปัญญาประดิษฐ์ 5,yes,
AIT,06046435,ALL3,3,deepseek|gemini|qwen,หัวข้อคัดสรรด้านปัญญาประดิษฐ์ 6,yes,
